Date,Price
"Jun 06, 2018",7639.970
"Jun 05, 2018",7567.330
"Jun 04, 2018",7618.500
"Jun 03, 2018",7676.170
"Jun 02, 2018",7590.080
"Jun 01, 2018",7521.070
"May 31, 2018",7450.160
"May 30, 2018",7438.120
"May 29, 2018",7301.020
"May 28, 2018",7253.650
"May 27, 2018",7365.150
"May 26, 2018",7421.180
"May 25, 2018",7536.220
"May 24, 2018",7574.230
"May 23, 2018",7797.450
"May 22, 2018",8230.820
"May 21, 2018",8470.660
"May 20, 2018",8380.110
"May 19, 2018",8251.450
"May 18, 2018",8171.400
"May 17, 2018",8232.180
"May 16, 2018",8436.610
"May 15, 2018",8607.780
"May 14, 2018",8714.940
"May 13, 2018",8619.710
"May 12, 2018",8473.160
"May 11, 2018",8747.220
"May 10, 2018",9184.950
"May 09, 2018",9274.450
"May 08, 2018",9307.840
"May 07, 2018",9509.340
"May 06, 2018",9750.050
"May 05, 2018",9779.210
"May 04, 2018",9698.130
"May 03, 2018",9488.910
"May 02, 2018",9170.260
"May 01, 2018",9185.240
"Apr 30, 2018",9333.330
"Apr 29, 2018",9382.740
"Apr 28, 2018",9143.870
"Apr 27, 2018",9138.840
"Apr 26, 2018",9074.410
"Apr 25, 2018",9273.380
"Apr 24, 2018",9315.920
"Apr 23, 2018",8862.630
"Apr 22, 2018",8863.750
"Apr 21, 2018",8872.180
"Apr 20, 2018",8566.350
"Apr 19, 2018",8226.790
"Apr 18, 2018",8053.920
"Apr 17, 2018",7986.870
"Apr 16, 2018",8198.110
"Apr 15, 2018",8164.220
"Apr 14, 2018",7930.450
"Apr 13, 2018",7898.520
"Apr 12, 2018",7422.310
"Apr 11, 2018",6905.890
"Apr 10, 2018",6815.100
"Apr 09, 2018",6907.520
"Apr 08, 2018",6971.750
"Apr 07, 2018",6770.800
"Apr 06, 2018",6726.140
"Apr 05, 2018",6830.060
"Apr 04, 2018",7155.120
"Apr 03, 2018",7279.180
"Apr 02, 2018",6964.330
"Apr 01, 2018",6923.640
"Mar 31, 2018",6933.000
"Mar 30, 2018",7030.980
"Mar 29, 2018",7572.380
"Mar 28, 2018",7895.650
"Mar 27, 2018",8016.520
"Mar 26, 2018",8353.930
"Mar 25, 2018",8554.290
"Mar 24, 2018",8785.030
"Mar 23, 2018",8807.930
"Mar 22, 2018",8833.950
"Mar 21, 2018",8933.380
"Mar 20, 2018",8766.570
"Mar 19, 2018",8487.380
"Mar 18, 2018",8057.100
"Mar 17, 2018",8119.390
"Mar 16, 2018",8330.630
"Mar 15, 2018",8295.810
"Mar 14, 2018",8742.230
"Mar 13, 2018",9183.940
"Mar 12, 2018",9404.020
"Mar 11, 2018",9215.700
"Mar 10, 2018",9108.290
"Mar 09, 2018",9376.110
"Mar 08, 2018",9673.220
"Mar 07, 2018",10384.730
"Mar 06, 2018",11140.000
"Mar 05, 2018",11552.840
"Mar 04, 2018",11505.000
"Mar 03, 2018",11295.800
"Mar 02, 2018",11031.900
"Mar 01, 2018",10668.000
"Feb 28, 2018",10542.550
"Feb 27, 2018",10559.750
"Feb 26, 2018",10018.060
"Feb 25, 2018",9730.570
"Feb 24, 2018",10050.380
"Feb 23, 2018",10119.080
"Feb 22, 2018",10332.700
"Feb 21, 2018",11031.300
"Feb 20, 2018",11317.750
"Feb 19, 2018",10888.950
"Feb 18, 2018",10837.590
"Feb 17, 2018",10660.100
"Feb 16, 2018",10184.790
"Feb 15, 2018",9827.360
"Feb 14, 2018",9047.270
"Feb 13, 2018",8762.510
"Feb 12, 2018",8534.000
"Feb 11, 2018",8373.040
"Feb 10, 2018",8670.990
"Feb 09, 2018",8504.410
"Feb 08, 2018",7951.720
"Feb 07, 2018",7688.390
"Feb 06, 2018",7402.870
"Feb 05, 2018",7612.900
"Feb 04, 2018",8726.350
"Feb 03, 2018",9013.510
"Feb 02, 2018",8986.510
"Feb 01, 2018",9703.920
"Jan 31, 2018",10164.650
"Jan 30, 2018",10706.550
"Jan 29, 2018",11525.950
"Jan 28, 2018",11630.800
"Jan 27, 2018",11307.800
"Jan 26, 2018",11213.700
"Jan 25, 2018",11340.550
"Jan 24, 2018",11131.400
"Jan 23, 2018",10906.450
"Jan 22, 2018",11282.250
"Jan 21, 2018",12244.650
"Jan 20, 2018",12277.700
"Jan 19, 2018",11518.590
"Jan 18, 2018",11336.840
"Jan 17, 2018",11309.850
"Jan 16, 2018",12663.300
"Jan 15, 2018",13793.550
"Jan 14, 2018",14071.400
"Jan 13, 2018",14156.300
"Jan 12, 2018",13717.250
"Jan 11, 2018",14187.000
"Jan 10, 2018",14780.900
"Jan 09, 2018",14859.550
"Jan 08, 2018",15823.150
"Jan 07, 2018",17002.440
"Jan 06, 2018",17494.550
"Jan 05, 2018",16453.340
"Jan 04, 2018",15434.950
"Jan 03, 2018",15089.600
"Jan 02, 2018",14303.550
"Jan 01, 2018",13884.700
"Dec 31, 2017",13527.050
"Dec 30, 2017",13817.050
"Dec 29, 2017",14676.000
"Dec 28, 2017",15235.300
"Dec 27, 2017",16001.000
"Dec 26, 2017",15068.200
"Dec 25, 2017",14011.250
"Dec 24, 2017",14267.000
