Name,ICO,Max,ROI
Bitcoin,0.0,19535.7,N/A
Ethereum,0.0,1389.18,N/A
Ripple,0.0,3.6491,N/A
Bitcoin Cash,0.0,4091.7,N/A
EOS,0.99,21.4637,2068.05%
Litecoin,0.0,366.153,N/A
Cardano,0.0,1.27977,N/A
Stellar,0.0,0.851652,N/A
TRON,0.0,0.254791,N/A
IOTA,0.0,5.34246,N/A
NEO,0.0,162.11,N/A
Tether,0.0,1.21016,N/A
Monero,0.0,494.164,N/A
Dash,0.0,1541.99,N/A
NEM,0.0,1.89635,N/A
VeChain,0.0,9.44558,N/A
Ethereum Classic,0.0,45.5091,N/A
Binance Coin,0.0,24.4621,N/A
Qtum,0.0,103.454,N/A
Bytecoin,0.0,0.0154149,N/A
OmiseGO,0.0,26.1439,N/A
Zcash,0.0,4293.37,N/A
ICON,0.11,12.1144,10913.09%
Lisk,0.0,38.4026,N/A
Ontology,0.0,10.9802,N/A
Zilliqa,0.0,0.218524,N/A
Aeternity,0.0,4.99837,N/A
Bitcoin Gold,0.0,479.817,N/A
Decred,0.0,121.701,N/A
0x,0.048,2.38689,4872.68%
Bytom,0.0,1.13293,N/A
Steem,0.0,7.31207,N/A
Verge,0.0,0.231503,N/A
Nano,0.0,34.4258,N/A
BitShares,0.0,0.874599,N/A
Siacoin,0.0,0.0971539,N/A
Populous,0.0,73.4548,N/A
RChain,0.0,2.9899,N/A
Wanchain,0.34,9.82405,2789.42%
Maker,0.0,1687.86,N/A
Bitcoin Private,0.0,86.1975,N/A
Bitcoin Diamond,0.0,91.4741,N/A
Golem,0.0,1.1573,N/A
Stratis,0.0,21.2136,N/A
Waves,0.0,17.0598,N/A
Augur,0.0,107.703,N/A
Dogecoin,0.0,0.0173586,N/A
Mixin,0.0,2320.38,N/A
WaykiChain,0.0,2.8324,N/A
Waltonchain,0.0,43.8883,N/A
IOST,0.01,0.136496,1264.96%
DigiByte,0.0,0.129687,N/A
Status,0.0,0.649891,N/A
Hshare,0.0,43.1679,N/A
Aion,1.0,11.1011,1010.11%
Nebulas,2.0,15.1017,655.08%
Loopring,0.0,2.08774,N/A
Basic Attention Token,0.0,0.864405,N/A
DigixDAO,0.0,553.571,N/A
CyberMiles,0.0524,0.606158,1056.79%
Komodo,0.0,12.8851,N/A
Ardor,0.0,2.03152,N/A
Ark,0.0,9.29089,N/A
aelf,0.099,2.59203,2518.21%
PIVX,0.0,13.7994,N/A
Polymath,0.0,1.64073,N/A
Dentacoin,0.0001,0.00713281,7032.81%
Loom Network,0.076,0.756345,895.19%
GXChain,0.0,10.3826,N/A
MonaCoin,0.0,19.2232,N/A
Bancor,3.92,10.268,161.93%
Cortex,0.58,2.40089,313.94%
Cryptonex,0.0,10.1485,N/A
Elastos,18.09,91.5612,406.14%
Skycoin,0.0,47.1468,N/A
MaidSafeCoin,0.0,1.16655,N/A
MyBit Token,0.0,14.4628,N/A
Gas,0.0,85.6818,N/A
ReddCoin,0.0,0.0266412,N/A
Syscoin,0.0,0.919993,N/A
Huobi Token,0.0,5.42255,N/A
QASH,0.24,2.47852,932.71%
Fusion,2.06,9.61207,366.60%
Ethos,0.0,10.8582,N/A
Mithril,0.0,1.55188,N/A
Kyber Network,0.0,5.84106,N/A
FunFair,0.0,0.192624,N/A
Electroneum,0.01,0.191831,1818.31%
Veritaseum,0.0,474.094,N/A
Substratum,0.0817,3.12575,3725.88%
Centrality,0.0,0.539844,N/A
Nexus,0.0,13.3256,N/A
iExec RLC,0.0,4.47231,N/A
Dragonchain,0.0663,5.01197,7459.53%
Enigma,0.6,8.06213,1243.68%
Nuls,0.0,8.14484,N/A
ZCoin,0.0,141.185,N/A
Holo,0.0002,0.00200137,900.68%
Dropil,0.0,0.00999192,N/A
All Sports,0.0,0.300607,N/A
Kin,0.0001,0.00136091,1260.90%
Nxt,0.0,1.93853,N/A
Storm,0.0113,0.244108,2060.24%
Factom,0.0,78.3672,N/A
Emercoin,0.0,10.0083,N/A
ZenCash,0.0,65.1635,N/A
Gifto,0.0,0.992979,N/A
Matrix AI Network,0.0,1.71799,N/A
BnkToTheFuture,0.0,0.352879,N/A
True Chain,0.0,3.61972,N/A
Power Ledger,0.0,1.89724,N/A
ChainLink,0.11,1.35121,1128.37%
SALT,0.89,17.6769,1886.16%
Theta Token,0.0,0.312894,N/A
WAX,0.32,4.81081,1403.37%
Byteball Bytes,0.0,1058.49,N/A
Nexo,0.1,0.536074,436.07%
Bibox Token,0.0,3.92256,N/A
Civic,0.1,1.36693,1266.92%
Quantstamp,0.072,0.807443,1021.44%
Scry.info,0.0,0.497104,N/A
Achain,0.0,1.36672,N/A
Nucleus Vision,0.0,0.0502181,N/A
Monaco,3.8,24.7778,552.04%
Request Network,0.0672,1.0703,1492.70%
Bottos,0.0,0.377013,N/A
DeepBrain Chain,0.0158,0.639256,3945.92%
Blocknet,0.0,56.2216,N/A
Neblio,0.0,58.9941,N/A
TenX,0.64,5.32608,732.20%
Storj,0.5,3.04207,508.41%
Decentraland,0.024,0.269746,1023.94%
Revain,0.0,3.82658,N/A
eosDAC,0.0,0.272173,N/A
SingularityNET,0.1,1.8206,1720.60%
High Performance Blockchain,0.0,13.2154,N/A
IHT Real Estate Protocol,0.0,0.232495,N/A
Cindicator,0.01,0.331942,3219.42%
Delphy,0.0,4.63693,N/A
Iconomi,0.0,5.25602,N/A
Arcblock,0.0,1.65248,N/A
Time New Bank,0.0171,0.292893,1612.82%
SmartCash,0.0,2.79533,N/A
Game.com,0.15,0.452439,201.62%
BitcoinDark,0.0,387.703,N/A
Enjin Coin,0.0512,0.486954,851.08%
Aragon,0.0,7.50782,N/A
Ruff,0.0,0.21939,N/A
Asch,0.0,1.62462,N/A
MediBloc,0.0088,0.287466,3166.65%
Gnosis,0.0,392.908,N/A
Particl,0.0,47.2612,N/A
Lympo,0.0217,0.137978,535.84%
Vertcoin,0.0,9.97484,N/A
SophiaTX,0.0716,1.57769,2103.47%
Santiment Network Token,0.0,7.96601,N/A
SONM,0.16,1.01637,535.23%
Credits,0.0,1.05295,N/A
POA Network,0.0,0.914215,N/A
Paypex,0.0,2.53528,N/A
SmartMesh,0.0167,0.242369,1351.31%
BOScoin,0.0,7.05597,N/A
Dent,0.0,0.105469,N/A
Bluzelle,0.12,0.837862,598.21%
DigitalNote,0.0,0.0970448,N/A
Ignis,0.0391,2.30446,5793.75%
Groestlcoin,0.0,2.27107,N/A
SIRIN LABS Token,0.0,3.61733,N/A
Dynamic Trading Rights,0.0,0.235995,N/A
GameCredits,0.0,6.61016,N/A
Docademic,0.0,0.436309,N/A
Genaro Network,0.15,1.2717,747.80%
Jibrel Network,0.0,0.632712,N/A
Metal,0.0,13.8581,N/A
Raiden Network Token,0.0,8.03909,N/A
Po.et,0.0064,0.221729,3364.51%
BLOCKv,0.0207,0.310511,1400.05%
MediShares,0.0,0.257794,N/A
THEKEY,0.0,0.040382,N/A
DATA,0.0109,0.0607473,457.31%
Ink,0.0,0.938002,N/A
DEW,0.0,3.69745,N/A
TokenPay,0.0,10.7879,N/A
Apex,0.0,0.331895,N/A
Crypterium,0.75,2.98354,297.80%
Ubiq,0.0,6.77442,N/A
NavCoin,0.0,4.60416,N/A
