Date,Price
"Jun 05, 2018",601.350
"Jun 04, 2018",606.210
"Jun 03, 2018",604.790
"Jun 02, 2018",586.110
"Jun 01, 2018",579.350
"May 31, 2018",568.060
"May 30, 2018",563.210
"May 29, 2018",540.770
"May 28, 2018",544.540
"May 27, 2018",580.590
"May 26, 2018",587.350
"May 25, 2018",594.430
"May 24, 2018",593.140
"May 23, 2018",615.130
"May 22, 2018",673.960
"May 21, 2018",708.200
"May 20, 2018",706.640
"May 19, 2018",695.800
"May 18, 2018",683.230
"May 17, 2018",690.690
"May 16, 2018",707.570
"May 15, 2018",720.000
"May 14, 2018",731.640
"May 13, 2018",710.330
"May 12, 2018",682.960
"May 11, 2018",703.300
"May 10, 2018",739.930
"May 09, 2018",752.580
"May 08, 2018",753.930
"May 07, 2018",773.530
"May 06, 2018",804.200
"May 05, 2018",800.350
"May 04, 2018",781.190
"May 03, 2018",733.060
"May 02, 2018",680.610
"May 01, 2018",672.030
"Apr 30, 2018",679.830
"Apr 29, 2018",686.390
"Apr 28, 2018",664.160
"Apr 27, 2018",654.560
"Apr 26, 2018",640.440
"Apr 25, 2018",661.240
"Apr 24, 2018",675.780
"Apr 23, 2018",631.870
"Apr 22, 2018",613.990
"Apr 21, 2018",610.690
"Apr 20, 2018",591.850
"Apr 19, 2018",545.960
"Apr 18, 2018",514.040
"Apr 17, 2018",507.010
"Apr 16, 2018",521.610
"Apr 15, 2018",517.290
"Apr 14, 2018",497.030
"Apr 13, 2018",492.950
"Apr 12, 2018",461.550
"Apr 11, 2018",422.780
"Apr 10, 2018",406.820
"Apr 09, 2018",399.690
"Apr 08, 2018",393.120
"Apr 07, 2018",377.840
"Apr 06, 2018",376.510
"Apr 05, 2018",381.590
"Apr 04, 2018",398.510
"Apr 03, 2018",402.100
"Apr 02, 2018",383.060
"Apr 01, 2018",388.430
"Mar 31, 2018",395.730
"Mar 30, 2018",390.270
"Mar 29, 2018",417.020
"Mar 28, 2018",448.280
"Mar 27, 2018",469.850
"Mar 26, 2018",507.120
"Mar 25, 2018",523.490
"Mar 24, 2018",534.500
"Mar 23, 2018",539.740
"Mar 22, 2018",550.900
"Mar 21, 2018",560.410
"Mar 20, 2018",556.940
"Mar 19, 2018",551.680
"Mar 18, 2018",545.140
"Mar 17, 2018",577.230
"Mar 16, 2018",606.720
"Mar 15, 2018",613.060
"Mar 14, 2018",652.750
"Mar 13, 2018",694.490
"Mar 12, 2018",712.120
"Mar 11, 2018",704.320
"Mar 10, 2018",708.520
"Mar 09, 2018",715.560
"Mar 08, 2018",728.580
"Mar 07, 2018",784.550
"Mar 06, 2018",835.380
"Mar 05, 2018",860.260
"Mar 04, 2018",861.430
"Mar 03, 2018",856.970
"Mar 02, 2018",864.300
"Mar 01, 2018",864.100
"Feb 28, 2018",866.560
"Feb 27, 2018",874.310
"Feb 26, 2018",857.300
"Feb 25, 2018",842.130
"Feb 24, 2018",851.050
"Feb 23, 2018",837.890
"Feb 22, 2018",831.050
"Feb 21, 2018",872.050
"Feb 20, 2018",919.470
"Feb 19, 2018",932.770
"Feb 18, 2018",948.630
"Feb 17, 2018",959.430
"Feb 16, 2018",939.500
"Feb 15, 2018",930.350
"Feb 14, 2018",883.920
"Feb 13, 2018",857.270
"Feb 12, 2018",843.110
"Feb 11, 2018",836.970
"Feb 10, 2018",871.440
"Feb 09, 2018",851.170
"Feb 08, 2018",786.820
"Feb 07, 2018",773.750
"Feb 06, 2018",750.430
"Feb 05, 2018",766.450
"Feb 04, 2018",899.670
"Feb 03, 2018",941.610
"Feb 02, 2018",975.770
"Feb 01, 2018",1078.080
"Jan 31, 2018",1094.690
"Jan 30, 2018",1127.630
"Jan 29, 2018",1214.530
"Jan 28, 2018",1178.890
"Jan 27, 2018",1081.400
"Jan 26, 2018",1053.930
"Jan 25, 2018",1059.620
"Jan 24, 2018",1023.130
"Jan 23, 2018",995.200
"Jan 22, 2018",1029.300
"Jan 21, 2018",1102.630
"Jan 20, 2018",1100.050
"Jan 19, 2018",1033.960
"Jan 18, 2018",1026.360
"Jan 17, 2018",1037.790
"Jan 16, 2018",1173.160
"Jan 15, 2018",1328.560
"Jan 14, 2018",1382.120
"Jan 13, 2018",1333.440
"Jan 12, 2018",1215.740
"Jan 11, 2018",1211.510
"Jan 10, 2018",1278.080
"Jan 09, 2018",1222.860
"Jan 08, 2018",1153.390
"Jan 07, 2018",1098.090
"Jan 06, 2018",1018.410
"Jan 05, 2018",986.730
"Jan 04, 2018",971.310
"Jan 03, 2018",924.360
"Jan 02, 2018",828.390
"Jan 01, 2018",764.200
"Dec 31, 2017",734.470
"Dec 30, 2017",735.540
"Dec 29, 2017",746.990
"Dec 28, 2017",749.610
"Dec 27, 2017",768.900
"Dec 26, 2017",768.600
"Dec 25, 2017",732.350
"Dec 24, 2017",707.960
"Dec 23, 2017",700.350
"Dec 22, 2017",748.750
"Dec 21, 2017",820.650
"Dec 20, 2017",823.300
"Dec 19, 2017",810.360
"Dec 18, 2017",758.180
"Dec 17, 2017",708.110
"Dec 16, 2017",691.200
"Dec 15, 2017",690.410
"Dec 14, 2017",698.200
"Dec 13, 2017",673.830
"Dec 12, 2017",586.850
"Dec 11, 2017",477.750
"Dec 10, 2017",457.250
"Dec 09, 2017",465.410
"Dec 08, 2017",445.510
"Dec 07, 2017",430.390
"Dec 06, 2017",445.590
"Dec 05, 2017",466.780
"Dec 04, 2017",468.120
"Dec 03, 2017",464.770
"Dec 02, 2017",465.150
"Dec 01, 2017",455.870
"Nov 30, 2017",439.160
"Nov 29, 2017",450.400
"Nov 28, 2017",476.710
"Nov 27, 2017",475.940
"Nov 26, 2017",468.650
"Nov 25, 2017",470.980
"Nov 24, 2017",443.700
"Nov 23, 2017",395.800
"Nov 22, 2017",370.480
"Nov 21, 2017",363.910
"Nov 20, 2017",360.410
"Nov 19, 2017",350.890
"Nov 18, 2017",339.790
"Nov 17, 2017",331.280
"Nov 16, 2017",332.180
"Nov 15, 2017",335.660
"Nov 14, 2017",327.190
"Nov 13, 2017",311.870
"Nov 12, 2017",311.300
"Nov 11, 2017",306.630
"Nov 10, 2017",309.960
"Nov 09, 2017",314.760
"Nov 08, 2017",301.660
"Nov 07, 2017",296.610
